Time Elapsed/s,Agent Population,Predator Population,Food Population,Prey Births,Predator Births,Prey Deaths,Predator Deaths
5002,4,21,164,277,79,313,98
5003,4,21,164,277,79,313,98
5004,4,21,164,277,79,313,98
5005,4,21,164,277,79,313,98
5006,4,21,165,277,79,313,98
5007,4,21,165,277,79,313,98
5008,4,21,165,277,79,313,98
5009,4,21,165,277,79,313,98
5010,4,21,165,277,79,313,98
5011,4,21,166,277,79,313,98
5012,4,21,166,277,79,313,98
5013,4,21,165,277,79,313,98
5014,4,21,165,277,79,313,98
5015,4,20,165,277,79,313,99
5016,4,20,166,277,79,313,99
5017,4,20,166,277,79,313,99
5018,4,20,166,277,79,313,99
5019,4,20,166,277,79,313,99
5020,4,20,166,277,79,313,99
5021,5,20,166,278,79,313,99
5022,5,20,166,278,79,313,99
5023,5,20,166,278,79,313,99
5024,5,20,166,278,79,313,99
5025,5,20,166,278,79,313,99
5026,5,20,167,278,79,313,99
5027,5,20,166,278,79,313,99
5028,5,20,166,278,79,313,99
5029,5,19,166,278,79,313,100
5030,5,19,166,278,79,313,100
5031,5,19,167,278,79,313,100
5032,5,19,167,278,79,313,100
5033,5,19,167,278,79,313,100
5034,5,19,167,278,79,313,100
5035,5,19,166,278,79,313,100
5036,5,19,167,278,79,313,100
5037,5,19,167,278,79,313,100
5038,5,19,167,278,79,313,100
5039,5,19,167,278,79,313,100
5040,5,19,167,278,79,313,100
5041,5,19,168,278,79,313,100
5042,5,19,168,278,79,313,100
5043,5,19,168,278,79,313,100
5044,6,19,167,279,79,313,100
5045,6,19,167,279,79,313,100
5046,6,19,168,279,79,313,100
5047,6,18,168,279,79,313,101
5048,6,18,168,279,79,313,101
5049,6,18,168,279,79,313,101
5050,6,18,167,279,79,313,101
5051,6,18,168,279,79,313,101
5052,6,18,168,279,79,313,101
5053,6,18,168,279,79,313,101
5054,6,18,168,279,79,313,101
5055,6,18,167,279,79,313,101
5056,6,18,168,279,79,313,101
5057,5,18,168,279,79,314,101
5058,5,18,168,279,79,314,101
5059,5,18,168,279,79,314,101
5060,5,18,168,279,79,314,101
5061,5,18,169,279,79,314,101
5062,5,18,169,279,79,314,101
5063,5,18,169,279,79,314,101
5064,5,17,169,279,79,314,102
5065,5,17,169,279,79,314,102
5066,5,17,170,279,79,314,102
5067,5,17,170,279,79,314,102
5068,5,17,170,279,79,314,102
5069,5,17,170,279,79,314,102
5070,5,17,170,279,79,314,102
5071,5,17,171,279,79,314,102
5072,5,17,171,279,79,314,102
5073,5,17,171,279,79,314,102
5074,5,17,171,279,79,314,102
5075,5,17,171,279,79,314,102
5076,5,17,172,279,79,314,102
5077,5,17,172,279,79,314,102
5078,5,17,172,279,79,314,102
5079,5,17,172,279,79,314,102
5080,5,17,172,279,79,314,102
5081,5,16,173,279,79,314,103
5082,5,16,173,279,79,314,103
5083,5,16,173,279,79,314,103
5084,5,16,173,279,79,314,103
5085,5,16,173,279,79,314,103
5086,5,16,174,279,79,314,103
5087,5,16,174,279,79,314,103
5088,5,16,174,279,79,314,103
5089,5,16,174,279,79,314,103
5090,5,16,174,279,79,314,103
5091,5,16,175,279,79,314,103
5092,5,16,175,279,79,314,103
5093,5,16,175,279,79,314,103
5094,5,16,175,279,79,314,103
5095,5,16,175,279,79,314,103
5096,5,16,176,279,79,314,103
5097,5,16,176,279,79,314,103
5098,5,16,176,279,79,314,103
5099,5,16,176,279,79,314,103
5100,5,16,176,279,79,314,103
5101,5,16,177,279,79,314,103
5102,5,16,177,279,79,314,103
5103,5,16,177,279,79,314,103
5104,5,16,177,279,79,314,103
5105,5,16,177,279,79,314,103
5106,5,16,178,279,79,314,103
5107,5,16,178,279,79,314,103
5108,5,16,178,279,79,314,103
5109,5,16,178,279,79,314,103
5110,5,16,178,279,79,314,103
5111,5,16,179,279,79,314,103
5112,5,16,179,279,79,314,103
5113,5,16,179,279,79,314,103
5114,5,16,179,279,79,314,103
5115,6,16,178,280,79,314,103
5116,6,16,179,280,79,314,103
5117,6,16,179,280,79,314,103
5118,6,16,179,280,79,314,103
5119,6,16,179,280,79,314,103
5120,6,16,179,280,79,314,103
5121,6,16,180,280,79,314,103
5122,6,16,180,280,79,314,103
5123,6,16,180,280,79,314,103
5124,6,16,180,280,79,314,103
5125,6,16,180,280,79,314,103
5126,6,16,181,280,79,314,103
5127,6,16,181,280,79,314,103
5128,6,16,181,280,79,314,103
5129,6,16,181,280,79,314,103
5130,6,16,181,280,79,314,103
5131,6,16,182,280,79,314,103
5132,6,16,182,280,79,314,103
5133,6,16,182,280,79,314,103
5134,6,16,182,280,79,314,103
5135,6,16,182,280,79,314,103
5136,6,16,183,280,79,314,103
5137,6,16,183,280,79,314,103
5138,6,16,183,280,79,314,103
5139,6,16,183,280,79,314,103
5140,6,16,183,280,79,314,103
5141,6,15,184,280,79,314,104
5142,6,14,183,280,79,314,105
5143,6,14,183,280,79,314,105
5144,6,14,183,280,79,314,105
5145,6,14,183,280,79,314,105
5146,6,14,184,280,79,314,105
5147,6,14,184,280,79,314,105
5148,6,14,184,280,79,314,105
5149,6,14,184,280,79,314,105
5150,6,14,184,280,79,314,105
5151,6,14,185,280,79,314,105
5152,6,14,185,280,79,314,105
5153,6,14,185,280,79,314,105
5154,7,14,184,281,79,314,105
5155,7,14,184,281,79,314,105
5156,7,14,185,281,79,314,105
5157,7,14,185,281,79,314,105
5158,7,14,185,281,79,314,105
5159,7,14,185,281,79,314,105
5160,7,14,185,281,79,314,105
5161,8,14,185,282,79,314,105
