Time Elapsed/s,Agent Population,Predator Population,Food Population,Prey Births,Predator Births,Prey Deaths,Predator Deaths
5002,21,16,74,285,67,304,91
5003,21,16,74,285,67,304,91
5004,21,16,74,285,67,304,91
5005,21,16,74,285,67,304,91
5006,21,16,75,285,67,304,91
5007,21,16,75,285,67,304,91
5008,21,16,75,285,67,304,91
5009,21,16,75,285,67,304,91
5010,22,16,74,286,67,304,91
5011,21,17,75,286,68,305,91
5012,21,17,75,286,68,305,91
5013,22,17,73,287,68,305,91
5014,22,17,73,287,68,305,91
5015,22,17,73,287,68,305,91
5016,22,17,74,287,68,305,91
5017,22,17,74,287,68,305,91
5018,22,17,74,287,68,305,91
5019,22,17,74,287,68,305,91
5020,22,17,74,287,68,305,91
5021,23,17,74,288,68,305,91
5022,23,17,74,288,68,305,91
5023,23,17,74,288,68,305,91
5024,23,17,74,288,68,305,91
5025,23,17,74,288,68,305,91
5026,23,17,75,288,68,305,91
5027,23,17,75,288,68,305,91
5028,23,17,75,288,68,305,91
5029,23,17,75,288,68,305,91
5030,23,17,75,288,68,305,91
5031,23,17,76,288,68,305,91
5032,23,17,76,288,68,305,91
5033,23,17,76,288,68,305,91
5034,23,17,75,288,68,305,91
5035,23,17,75,288,68,305,91
5036,23,17,75,288,68,305,91
5037,23,17,75,288,68,305,91
5038,23,17,75,288,68,305,91
5039,23,17,75,288,68,305,91
5040,23,17,75,288,68,305,91
5041,23,17,76,288,68,305,91
5042,23,17,75,288,68,305,91
5043,23,17,75,288,68,305,91
5044,23,17,73,288,68,305,91
5045,23,17,73,288,68,305,91
5046,23,17,74,288,68,305,91
5047,23,17,74,288,68,305,91
5048,23,17,74,288,68,305,91
5049,23,17,74,288,68,305,91
5050,23,17,74,288,68,305,91
5051,23,17,75,288,68,305,91
5052,24,17,74,289,68,305,91
5053,24,17,74,289,68,305,91
5054,24,17,74,289,68,305,91
5055,24,17,74,289,68,305,91
5056,24,17,75,289,68,305,91
5057,23,17,75,289,68,306,91
5058,23,17,74,289,68,306,91
5059,22,17,74,289,68,307,91
5060,22,17,74,289,68,307,91
5061,22,17,75,289,68,307,91
