Time Elapsed/s,Agent Population,Predator Population,Food Population,Prey Births,Predator Births,Prey Deaths,Predator Deaths
5002,35,18,58,307,74,312,96
5003,35,18,58,307,74,312,96
5004,35,18,58,307,74,312,96
5005,35,18,58,307,74,312,96
5006,35,18,59,307,74,312,96
5007,35,18,59,307,74,312,96
5008,35,18,59,307,74,312,96
5009,35,18,59,307,74,312,96
5010,35,18,59,307,74,312,96
5011,35,18,60,307,74,312,96
5012,35,18,60,307,74,312,96
5013,35,18,60,307,74,312,96
5014,35,17,60,307,74,312,97
5015,35,17,60,307,74,312,97
5016,35,17,61,307,74,312,97
5017,35,17,61,307,74,312,97
5018,35,17,61,307,74,312,97
5019,35,17,60,307,74,312,97
5020,35,17,60,307,74,312,97
5021,36,17,60,308,74,312,97
5022,36,17,60,308,74,312,97
5023,36,17,60,308,74,312,97
5024,36,17,60,308,74,312,97
5025,36,17,60,308,74,312,97
5026,36,17,61,308,74,312,97
5027,36,17,61,308,74,312,97
5028,36,17,61,308,74,312,97
5029,36,17,61,308,74,312,97
5030,36,17,61,308,74,312,97
5031,36,17,62,308,74,312,97
5032,36,17,62,308,74,312,97
5033,36,17,62,308,74,312,97
5034,36,17,62,308,74,312,97
5035,36,17,62,308,74,312,97
5036,36,17,63,308,74,312,97
5037,36,17,63,308,74,312,97
5038,35,17,63,308,74,313,97
5039,35,17,63,308,74,313,97
5040,35,17,63,308,74,313,97
5041,35,17,64,308,74,313,97
5042,35,17,64,308,74,313,97
5043,35,17,63,308,74,313,97
5044,35,17,63,308,74,313,97
5045,35,17,63,308,74,313,97
5046,35,17,64,308,74,313,97
5047,34,17,64,308,74,314,97
5048,34,17,64,308,74,314,97
5049,34,17,64,308,74,314,97
5050,34,17,64,308,74,314,97
5051,34,17,65,308,74,314,97
5052,34,17,65,308,74,314,97
5053,34,17,65,308,74,314,97
5054,34,17,65,308,74,314,97
5055,34,17,65,308,74,314,97
5056,34,17,66,308,74,314,97
5057,34,17,65,308,74,314,97
5058,34,17,65,308,74,314,97
5059,34,17,65,308,74,314,97
5060,34,17,65,308,74,314,97
5061,34,17,66,308,74,314,97
5062,34,17,64,308,74,314,97
5063,34,17,64,308,74,314,97
5064,33,17,64,308,74,315,97
5065,33,17,63,308,74,315,97
5066,33,17,64,308,74,315,97
5067,33,17,64,308,74,315,97
5068,33,17,64,308,74,315,97
5069,33,17,64,308,74,315,97
5070,33,17,64,308,74,315,97
5071,33,17,65,308,74,315,97
5072,33,17,64,308,74,315,97
5073,33,17,64,308,74,315,97
5074,33,17,64,308,74,315,97
5075,33,17,64,308,74,315,97
5076,33,17,65,308,74,315,97
5077,33,17,65,308,74,315,97
5078,33,17,65,308,74,315,97
5079,33,17,65,308,74,315,97
5080,33,17,65,308,74,315,97
5081,34,17,65,309,74,315,97
5082,34,17,65,309,74,315,97
5083,34,17,65,309,74,315,97
5084,34,18,64,310,75,316,97
5085,34,17,64,310,75,316,98
5086,34,17,65,310,75,316,98
5087,34,17,65,310,75,316,98
5088,34,17,65,310,75,316,98
5089,34,17,65,310,75,316,98
5090,34,17,65,310,75,316,98
5091,34,17,65,310,75,316,98
5092,34,17,65,310,75,316,98
5093,34,17,65,310,75,316,98
5094,35,17,64,311,75,316,98
5095,35,17,64,311,75,316,98
5096,35,17,64,311,75,316,98
5097,35,17,64,311,75,316,98
5098,35,17,64,311,75,316,98
5099,35,17,64,311,75,316,98
5100,35,17,64,311,75,316,98
5101,35,17,65,311,75,316,98
5102,35,17,65,311,75,316,98
5103,35,17,64,311,75,316,98
5104,35,17,64,311,75,316,98
5105,35,17,64,311,75,316,98
5106,35,17,65,311,75,316,98
5107,35,17,65,311,75,316,98
5108,35,17,65,311,75,316,98
5109,35,17,65,311,75,316,98
5110,35,17,65,311,75,316,98
5111,35,17,66,311,75,316,98
5112,35,17,66,311,75,316,98
5113,36,17,65,312,75,316,98
5114,36,17,65,312,75,316,98
5115,36,17,65,312,75,316,98
5116,36,17,66,312,75,316,98
5117,36,17,65,312,75,316,98
5118,35,17,65,312,75,317,98
5119,35,17,65,312,75,317,98
5120,35,17,65,312,75,317,98
5121,35,17,66,312,75,317,98
5122,35,17,66,312,75,317,98
5123,35,17,66,312,75,317,98
5124,35,17,65,312,75,317,98
5125,35,17,65,312,75,317,98
5126,35,17,66,312,75,317,98
5127,34,18,65,312,76,318,98
5128,34,18,65,312,76,318,98
5129,34,18,65,312,76,318,98
5130,34,18,65,312,76,318,98
5131,34,18,66,312,76,318,98
5132,34,18,65,312,76,318,98
5133,35,17,64,313,76,318,99
5134,35,17,64,313,76,318,99
5135,35,17,64,313,76,318,99
