Time Elapsed,ID,X-Coord,Y-Coord
0.0,4659196816,17.591,0.445
1.0,4659196816,17.591,0.445
2.0,4659196816,17.591,0.445
2.0,4660885584,29.832,30.75
3.0,4659196816,17.591,0.445
3.0,4660885584,29.832,30.75
3.0,4660065168,12.325,28.254
4.0,4659196816,17.591,0.445
4.0,4660885584,29.832,30.75
4.0,4660065168,12.325,28.254
5.0,4659196816,17.591,0.445
5.0,4660885584,29.832,30.75
5.0,4660065168,12.325,28.254
6.0,4659196816,17.591,0.445
6.0,4660885584,29.832,30.75
6.0,4660065168,12.325,28.254
7.0,4659196816,17.591,0.445
7.0,4660885584,29.832,30.75
7.0,4660065168,12.325,28.254
8.0,4659196816,17.591,0.445
8.0,4660885584,29.832,30.75
8.0,4660065168,12.325,28.254
8.0,5125868368,38.796,13.98
9.0,4659196816,17.591,0.445
9.0,4660885584,29.832,30.75
9.0,4660065168,12.325,28.254
9.0,5125868368,38.796,13.98
10.0,4659196816,17.591,0.445
10.0,4660885584,29.832,30.75
10.0,4660065168,12.325,28.254
10.0,5125868368,38.796,13.98
11.0,4659196816,17.591,0.445
11.0,4660885584,29.832,30.75
11.0,4660065168,12.325,28.254
11.0,5125868368,38.796,13.98
11.0,5125871632,38.673,15.83
12.0,4659196816,17.591,0.445
12.0,4660885584,29.832,30.75
12.0,4660065168,12.325,28.254
12.0,5125868368,38.796,13.98
12.0,5125871632,38.673,15.83
13.0,4659196816,17.591,0.445
13.0,4660885584,29.832,30.75
13.0,4660065168,12.325,28.254
13.0,5125868368,38.796,13.98
13.0,5125871632,38.673,15.83
14.0,4659196816,17.591,0.445
14.0,4660885584,29.832,30.75
14.0,4660065168,12.325,28.254
14.0,5125868368,38.796,13.98
14.0,5125871632,38.673,15.83
15.0,4659196816,17.591,0.445
15.0,4660885584,29.832,30.75
15.0,4660065168,12.325,28.254
15.0,5125868368,38.796,13.98
15.0,5125871632,38.673,15.83
16.0,4659196816,17.591,0.445
16.0,4660885584,29.832,30.75
16.0,4660065168,12.325,28.254
16.0,5125868368,38.796,13.98
16.0,5125871632,38.673,15.83
17.0,4659196816,17.591,0.445
17.0,4660885584,29.832,30.75
17.0,4660065168,12.325,28.254
17.0,5125868368,38.796,13.98
