Time Elapsed/s,Agent Population,Food Population
0.0,1,1
1.0,1,1
2.0,1,2
3.0,1,3
4.0,1,3
5.0,1,4
6.0,1,4
7.0,1,4
8.0,1,4
9.0,1,4
10.0,1,6
11.0,1,6
12.0,1,7
13.0,1,7
14.0,1,7
15.0,1,8
16.0,1,8
17.0,1,8
18.0,1,10
19.0,1,11
20.0,1,11
21.0,1,11
22.0,1,11
23.0,1,11
24.0,1,12
25.0,1,12
26.0,1,12
27.0,1,12
28.0,1,12
29.0,1,15
30.0,1,17
31.0,1,17
32.0,1,18
33.0,1,18
34.0,1,18
35.0,1,19
36.0,1,20
37.0,1,21
38.0,1,21
39.0,1,22
40.0,1,22
41.0,1,23
42.0,1,25
43.0,1,25
44.0,1,25
45.0,1,26
46.0,1,26
47.0,1,26
48.0,1,26
49.0,1,26
50.0,1,26
51.0,1,27
52.0,1,28
53.0,1,29
54.0,1,31
55.0,1,32
56.0,1,33
57.0,1,34
58.0,1,34
59.0,1,34
60.0,1,34
61.0,1,34
62.0,1,34
63.0,1,34
64.0,1,34
65.0,1,35
66.0,1,35
67.0,1,35
68.0,1,35
69.0,1,36
70.0,1,36
71.0,1,38
72.0,1,39
73.0,1,40
74.0,1,40
75.0,1,42
76.0,1,42
77.0,1,43
78.0,1,43
79.0,1,43
80.0,1,44
81.0,1,44
82.0,1,45
83.0,1,46
84.0,1,46
85.0,1,47
86.0,1,47
87.0,1,46
88.0,1,46
89.0,1,46
90.0,1,46
91.0,1,46
92.0,1,47
93.0,1,47
94.0,1,47
95.0,1,48
96.0,1,48
97.0,1,49
98.0,1,50
99.0,1,51
100.0,1,52
101.0,1,52
102.0,1,52
103.0,1,54
104.0,1,54
105.0,1,54
106.0,1,55
107.0,1,55
108.0,1,55
109.0,1,55
110.0,1,55
111.0,1,57
112.0,1,57
113.0,1,59
114.0,1,59
115.0,1,59
116.0,1,59
117.0,1,59
118.0,1,60
119.0,1,62
120.0,1,62
121.0,1,63
122.0,1,64
123.0,1,64
124.0,1,64
125.0,1,65
126.0,1,65
127.0,1,65
128.0,1,66
129.0,1,68
130.0,1,68
131.0,1,68
132.0,1,68
133.0,1,71
134.0,1,71
135.0,1,73
136.0,1,74
137.0,1,75
138.0,1,75
139.0,1,76
140.0,1,77
141.0,1,78
142.0,1,79
143.0,1,80
144.0,1,80
145.0,1,80
146.0,1,80
147.0,1,80
148.0,1,80
149.0,1,80
150.0,1,80
151.0,1,80
152.0,1,80
153.0,1,80
154.0,1,80
155.0,1,80
156.0,1,80
157.0,1,80
158.0,1,81
159.0,1,81
160.0,1,82
161.0,1,83
162.0,1,83
163.0,1,84
164.0,1,84
165.0,1,85
166.0,1,87
167.0,1,88
168.0,1,88
169.0,1,87
170.0,1,88
171.0,1,88
172.0,1,88
173.0,1,89
174.0,1,89
175.0,1,89
176.0,1,89
177.0,1,89
178.0,1,90
179.0,1,91
180.0,1,91
181.0,1,92
182.0,1,92
183.0,1,92
184.0,1,92
185.0,1,94
186.0,1,94
187.0,1,94
188.0,1,95
189.0,1,95
190.0,1,95
191.0,1,95
192.0,1,96
193.0,1,97
194.0,1,97
195.0,1,97
196.0,1,97
197.0,1,97
198.0,1,97
199.0,1,98
200.0,1,99
201.0,1,99
202.0,1,99
203.0,1,99
204.0,1,100
205.0,1,101
206.0,1,101
207.0,1,101
208.0,1,102
209.0,1,103
210.0,1,103
211.0,1,103
212.0,1,104
213.0,1,104
214.0,1,105
215.0,1,107
216.0,1,107
217.0,1,109
218.0,1,109
219.0,1,110
220.0,1,110
221.0,1,110
222.0,1,110
223.0,1,111
224.0,1,112
225.0,1,114
226.0,1,114
227.0,1,116
228.0,1,116
229.0,1,116
230.0,1,116
231.0,1,115
232.0,1,115
233.0,1,115
234.0,1,115
235.0,1,116
236.0,2,115
237.0,3,112
238.0,4,114
239.0,4,114
240.0,4,114
241.0,4,114
242.0,4,113
243.0,4,113
244.0,4,113
245.0,4,114
246.0,4,114
247.0,4,116
248.0,4,116
249.0,4,117
250.0,5,116
251.0,5,118
252.0,6,118
253.0,6,118
254.0,6,118
255.0,6,118
256.0,6,119
257.0,7,118
258.0,7,118
259.0,7,118
260.0,7,117
261.0,7,118
262.0,7,118
263.0,7,118
264.0,7,118
265.0,7,119
266.0,9,117
267.0,9,118
268.0,9,119
269.0,11,117
270.0,11,117
271.0,11,118
272.0,12,118
273.0,12,117
274.0,12,116
275.0,12,116
276.0,12,116
277.0,12,116
278.0,12,115
279.0,13,114
280.0,14,113
281.0,14,113
282.0,14,114
