Time Elapsed/s,Agent Population,Food Population
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,10,0
0,10,0
0,10,0
0,10,0
0.2,10.0,0.0
0.2,10.0,1.0
2.700000000000001,10.0,1.0
2.700000000000001,10.0,2.0
3.1000000000000014,10.0,2.0
3.1000000000000014,10.0,3.0
4.999999999999998,10.0,3.0
4.999999999999998,10.0,4.0
5.599999999999996,10.0,3.0
7.699999999999989,10.0,3.0
7.699999999999989,10.0,4.0
10.799999999999978,10.0,4.0
10.799999999999978,10.0,5.0
12.499999999999972,10.0,5.0
12.499999999999972,10.0,6.0
13.299999999999969,10.0,6.0
13.299999999999969,10.0,7.0
13.699999999999967,10.0,7.0
13.699999999999967,10.0,8.0
13.999999999999966,10.0,7.0
14.299999999999965,10.0,7.0
14.299999999999965,10.0,8.0
14.699999999999964,10.0,8.0
14.699999999999964,10.0,9.0
15.59999999999996,10.0,9.0
15.59999999999996,10.0,10.0
16.09999999999996,10.0,10.0
16.09999999999996,10.0,11.0
16.599999999999966,10.0,11.0
16.599999999999966,10.0,12.0
18.599999999999994,10.0,12.0
18.599999999999994,10.0,13.0
19.0,10.0,13.0
19.0,10.0,14.0
19.60000000000001,10.0,14.0
19.60000000000001,10.0,15.0
20.600000000000023,10.0,15.0
20.600000000000023,10.0,16.0
21.20000000000003,10.0,16.0
21.20000000000003,10.0,17.0
21.400000000000034,10.0,17.0
21.400000000000034,10.0,18.0
23.600000000000065,10.0,17.0
23.90000000000007,10.0,17.0
23.90000000000007,10.0,18.0
24.200000000000074,10.0,18.0
24.200000000000074,10.0,19.0
24.300000000000075,10.0,19.0
24.300000000000075,10.0,20.0
32.000000000000185,10.0,20.0
32.000000000000185,10.0,21.0
33.70000000000021,10.0,21.0
33.70000000000021,10.0,22.0
33.80000000000021,10.0,22.0
33.80000000000021,10.0,23.0
34.00000000000021,10.0,23.0
34.00000000000021,10.0,24.0
35.10000000000023,10.0,24.0
35.10000000000023,10.0,25.0
36.50000000000025,10.0,25.0
36.50000000000025,10.0,26.0
36.70000000000025,10.0,26.0
36.70000000000025,10.0,27.0
36.80000000000025,10.0,27.0
36.80000000000025,10.0,28.0
38.10000000000027,10.0,28.0
38.10000000000027,10.0,29.0
38.400000000000276,10.0,29.0
38.400000000000276,10.0,30.0
38.50000000000028,10.0,30.0
38.50000000000028,10.0,31.0
39.000000000000284,10.0,31.0
39.000000000000284,10.0,32.0
39.9000000000003,10.0,32.0
39.9000000000003,10.0,33.0
40.70000000000031,10.0,33.0
40.70000000000031,10.0,34.0
41.200000000000315,10.0,34.0
41.200000000000315,10.0,35.0
41.50000000000032,10.0,35.0
41.50000000000032,10.0,36.0
43.00000000000034,10.0,35.0
43.10000000000034,10.0,34.0
44.20000000000036,10.0,33.0
44.20000000000036,10.0,32.0
44.50000000000036,10.0,32.0
44.50000000000036,10.0,33.0
45.60000000000038,10.0,33.0
45.60000000000038,10.0,34.0
48.40000000000042,10.0,34.0
48.40000000000042,10.0,35.0
48.900000000000425,10.0,34.0
49.000000000000426,10.0,34.0
49.000000000000426,10.0,35.0
49.20000000000043,10.0,35.0
49.20000000000043,10.0,36.0
49.90000000000044,10.0,35.0
49.90000000000044,11.0,35.0
51.700000000000465,11.0,35.0
51.700000000000465,11.0,36.0
52.90000000000048,11.0,36.0
52.90000000000048,11.0,37.0
53.200000000000486,11.0,37.0
53.200000000000486,11.0,38.0
53.30000000000049,11.0,38.0
53.30000000000049,11.0,39.0
