,Time Elapsed/s,Agent Population,Food Population
0,0,1,0
1,0,2,0
2,0,3,0
3,0,4,0
4,0,5,0
5,0,6,0
6,0,7,0
7,0,8,0
8,0,9,0
9,0,10,0
10,0,10,0
11,0,10,0
12,0,10,0
13,0,10,0
14,1.0999999999999999,10.0,0.0
15,1.0999999999999999,10.0,1.0
16,1.8000000000000005,10.0,1.0
17,1.8000000000000005,10.0,2.0
18,2.2000000000000006,10.0,2.0
19,2.2000000000000006,10.0,3.0
20,3.1000000000000014,10.0,3.0
21,3.1000000000000014,10.0,4.0
22,3.4000000000000017,10.0,4.0
23,3.4000000000000017,10.0,5.0
24,4.200000000000001,10.0,5.0
25,4.200000000000001,10.0,6.0
26,4.999999999999998,10.0,6.0
27,4.999999999999998,10.0,7.0
28,5.399999999999997,10.0,7.0
29,5.399999999999997,10.0,8.0
30,6.099999999999994,10.0,8.0
31,6.099999999999994,10.0,9.0
32,6.199999999999994,10.0,8.0
33,6.399999999999993,10.0,8.0
34,6.399999999999993,10.0,9.0
35,7.699999999999989,10.0,9.0
36,7.699999999999989,10.0,10.0
37,7.799999999999988,10.0,10.0
38,7.799999999999988,10.0,11.0
39,8.099999999999987,10.0,11.0
40,8.099999999999987,10.0,12.0
41,8.399999999999986,10.0,12.0
42,8.399999999999986,10.0,13.0
43,8.799999999999985,10.0,13.0
44,8.799999999999985,10.0,14.0
45,9.799999999999981,10.0,14.0
46,9.799999999999981,10.0,15.0
47,10.499999999999979,10.0,15.0
48,10.499999999999979,10.0,16.0
49,11.199999999999976,10.0,16.0
50,11.199999999999976,10.0,17.0
51,11.399999999999975,10.0,16.0
52,11.599999999999975,10.0,15.0
53,11.599999999999975,11.0,15.0
54,11.799999999999974,11.0,15.0
55,11.799999999999974,11.0,16.0
56,12.199999999999973,11.0,16.0
57,12.199999999999973,11.0,17.0
58,13.399999999999968,11.0,17.0
59,13.399999999999968,11.0,18.0
60,13.999999999999966,11.0,18.0
61,13.999999999999966,11.0,19.0
62,15.199999999999962,11.0,19.0
63,15.199999999999962,11.0,20.0
64,15.299999999999962,11.0,20.0
65,15.299999999999962,11.0,21.0
66,20.100000000000016,11.0,21.0
67,20.100000000000016,11.0,22.0
68,21.00000000000003,11.0,22.0
69,21.00000000000003,11.0,23.0
70,22.200000000000045,11.0,22.0
71,22.700000000000053,11.0,22.0
72,22.700000000000053,11.0,23.0
73,23.600000000000065,11.0,23.0
74,23.600000000000065,11.0,24.0
75,25.700000000000095,11.0,24.0
76,25.700000000000095,11.0,25.0
77,27.000000000000114,11.0,25.0
78,27.000000000000114,11.0,26.0
79,27.300000000000118,11.0,26.0
80,27.300000000000118,11.0,27.0
81,27.600000000000122,11.0,27.0
82,27.600000000000122,11.0,28.0
83,28.600000000000136,11.0,27.0
84,28.90000000000014,11.0,27.0
85,28.90000000000014,11.0,28.0
86,29.60000000000015,11.0,28.0
87,29.60000000000015,11.0,29.0
88,30.600000000000165,11.0,28.0
89,31.900000000000183,11.0,27.0
90,33.0000000000002,11.0,27.0
91,33.0000000000002,11.0,28.0
92,33.2000000000002,11.0,28.0
93,33.2000000000002,11.0,29.0
94,35.70000000000024,11.0,29.0
95,35.70000000000024,11.0,30.0
96,36.50000000000025,11.0,29.0
97,37.30000000000026,11.0,28.0
98,37.30000000000026,12.0,28.0
99,37.40000000000026,12.0,27.0
100,37.40000000000026,12.0,27.0
101,37.40000000000026,12.0,28.0
102,40.3000000000003,12.0,27.0
103,40.500000000000306,12.0,27.0
104,40.500000000000306,12.0,28.0
105,41.200000000000315,12.0,28.0
106,41.200000000000315,12.0,29.0
107,42.00000000000033,12.0,28.0
108,42.80000000000034,12.0,28.0
109,42.80000000000034,12.0,29.0
110,43.40000000000035,12.0,28.0
111,43.900000000000354,12.0,27.0
112,44.50000000000036,12.0,26.0
113,44.700000000000365,12.0,26.0
114,44.700000000000365,12.0,27.0
115,45.70000000000038,12.0,27.0
116,45.70000000000038,12.0,28.0
117,46.000000000000384,12.0,28.0
118,46.000000000000384,12.0,29.0
119,46.50000000000039,12.0,29.0
120,46.50000000000039,12.0,30.0
121,46.9000000000004,12.0,30.0
122,46.9000000000004,12.0,31.0
123,47.0000000000004,12.0,31.0
124,47.0000000000004,12.0,32.0
125,47.500000000000405,12.0,31.0
126,47.500000000000405,13.0,31.0
127,47.70000000000041,13.0,30.0
128,48.10000000000041,13.0,30.0
129,48.10000000000041,13.0,31.0
130,49.90000000000044,13.0,31.0
131,49.90000000000044,13.0,32.0
132,51.50000000000046,13.0,32.0
133,51.50000000000046,13.0,33.0
134,52.10000000000047,13.0,33.0
135,52.10000000000047,13.0,34.0
136,52.20000000000047,13.0,34.0
137,52.20000000000047,13.0,35.0
138,52.90000000000048,13.0,35.0
139,52.90000000000048,13.0,36.0
140,54.70000000000051,13.0,35.0
141,55.300000000000516,13.0,34.0
142,55.50000000000052,13.0,34.0
143,55.50000000000052,13.0,35.0
144,55.60000000000052,13.0,35.0
145,55.60000000000052,13.0,36.0
146,57.400000000000546,13.0,35.0
147,57.70000000000055,13.0,35.0
148,57.70000000000055,13.0,36.0
149,58.000000000000554,13.0,36.0
150,58.000000000000554,13.0,37.0
151,60.200000000000585,13.0,37.0
152,60.200000000000585,13.0,38.0
153,60.70000000000059,13.0,38.0
154,60.70000000000059,13.0,39.0
155,62.00000000000061,13.0,38.0
156,62.40000000000062,13.0,38.0
157,62.40000000000062,13.0,39.0
158,62.80000000000062,13.0,39.0
159,62.80000000000062,13.0,40.0
160,63.20000000000063,13.0,40.0
161,63.20000000000063,13.0,41.0
162,63.30000000000063,13.0,41.0
163,63.30000000000063,13.0,42.0
164,64.10000000000063,13.0,41.0
165,64.50000000000061,13.0,40.0
166,65.50000000000055,13.0,39.0
167,66.70000000000049,13.0,39.0
168,66.70000000000049,13.0,40.0
169,67.20000000000046,13.0,40.0
170,67.20000000000046,13.0,41.0
171,67.60000000000043,13.0,40.0
172,67.60000000000043,14.0,40.0
173,68.90000000000036,14.0,40.0
174,68.90000000000036,14.0,41.0
175,69.40000000000033,14.0,41.0
176,69.40000000000033,14.0,42.0
177,70.60000000000026,14.0,42.0
178,70.60000000000026,14.0,43.0
179,70.70000000000026,14.0,43.0
180,70.70000000000026,14.0,44.0
181,71.40000000000022,14.0,44.0
182,71.40000000000022,14.0,45.0
183,71.60000000000021,14.0,45.0
184,71.60000000000021,14.0,46.0
185,72.50000000000016,14.0,46.0
186,72.50000000000016,14.0,47.0
187,72.90000000000013,14.0,47.0
188,72.90000000000013,14.0,48.0
189,74.50000000000004,14.0,48.0
190,74.50000000000004,14.0,49.0
191,74.80000000000003,14.0,49.0
192,74.80000000000003,14.0,50.0
193,75.3,14.0,50.0
194,75.3,14.0,51.0
195,75.49999999999999,14.0,51.0
196,75.49999999999999,14.0,52.0
197,75.99999999999996,14.0,52.0
198,75.99999999999996,14.0,53.0
199,76.29999999999994,14.0,52.0
200,76.29999999999994,15.0,52.0
201,76.9999999999999,15.0,52.0
202,76.9999999999999,15.0,53.0
203,77.19999999999989,15.0,52.0
204,77.19999999999989,16.0,52.0
205,77.49999999999987,16.0,51.0
206,78.39999999999982,16.0,50.0
207,78.7999999999998,16.0,49.0
208,78.99999999999979,16.0,48.0
209,79.09999999999978,16.0,48.0
210,79.09999999999978,16.0,49.0
211,80.09999999999972,16.0,49.0
212,80.09999999999972,16.0,50.0
213,80.89999999999968,16.0,49.0
214,82.3999999999996,16.0,49.0
215,82.3999999999996,16.0,50.0
216,82.49999999999959,16.0,50.0
217,82.49999999999959,16.0,51.0
218,83.59999999999953,16.0,51.0
219,83.59999999999953,16.0,52.0
220,84.0999999999995,16.0,51.0
221,84.0999999999995,17.0,51.0
222,84.29999999999949,17.0,50.0
223,84.29999999999949,18.0,50.0
224,84.39999999999948,18.0,50.0
225,84.39999999999948,18.0,51.0
226,85.49999999999942,18.0,51.0
227,85.49999999999942,18.0,52.0
228,85.6999999999994,18.0,51.0
229,86.19999999999938,18.0,50.0
230,86.19999999999938,19.0,50.0
231,86.29999999999937,19.0,49.0
232,87.29999999999932,19.0,49.0
233,87.29999999999932,19.0,50.0
234,87.39999999999931,19.0,49.0
235,87.4999999999993,19.0,49.0
236,87.4999999999993,19.0,50.0
237,87.69999999999929,19.0,49.0
238,87.89999999999928,19.0,49.0
239,87.89999999999928,19.0,50.0
240,88.59999999999924,19.0,50.0
241,88.59999999999924,19.0,51.0
242,89.1999999999992,19.0,50.0
243,89.59999999999918,19.0,49.0
244,89.59999999999918,20.0,49.0
245,89.59999999999918,20.0,49.0
246,89.59999999999918,20.0,50.0
247,90.29999999999914,20.0,49.0
248,90.29999999999914,20.0,48.0
249,90.29999999999914,21.0,48.0
250,90.69999999999912,21.0,47.0
251,90.69999999999912,21.0,47.0
252,90.69999999999912,21.0,48.0
253,90.89999999999911,21.0,47.0
254,91.69999999999906,21.0,47.0
255,91.69999999999906,21.0,48.0
256,91.79999999999906,21.0,48.0
257,91.79999999999906,21.0,49.0
258,92.29999999999903,21.0,49.0
259,92.29999999999903,21.0,50.0
260,92.39999999999903,21.0,49.0
261,92.799999999999,21.0,48.0
262,93.39999999999897,21.0,48.0
263,93.39999999999897,21.0,49.0
264,93.89999999999894,21.0,48.0
265,93.89999999999894,22.0,48.0
266,94.79999999999889,22.0,47.0
267,96.3999999999988,22.0,46.0
268,96.3999999999988,23.0,46.0
269,96.49999999999879,23.0,46.0
270,96.49999999999879,23.0,47.0
271,97.49999999999874,23.0,46.0
272,98.39999999999868,23.0,46.0
273,98.39999999999868,23.0,47.0
274,98.89999999999866,23.0,46.0
275,99.59999999999862,23.0,46.0
276,99.59999999999862,23.0,47.0
277,100.79999999999855,23.0,47.0
278,100.79999999999855,23.0,48.0
279,102.19999999999847,23.0,48.0
280,102.19999999999847,23.0,49.0
